2017-02-07 07:50:01.536866 -- Retweeted tweet id: 299530494457020417
2017-02-07 07:50:01.802524 -- Retweeted tweet id: 299530651776999424
2017-02-07 07:51:02.016618 -- Unable to retweet id: 299530494457020417
2017-02-07 07:51:02.144979 -- Unable to retweet id: 299530651776999424
2017-02-07 07:52:01.370286 -- Unable to retweet id: 299530494457020417
2017-02-07 07:52:01.502467 -- Unable to retweet id: 299530651776999424
2017-02-07 07:53:01.735503 -- Unable to retweet id: 299530494457020417
2017-02-07 07:53:01.863923 -- Unable to retweet id: 299530651776999424
2017-02-07 07:54:02.082135 -- Unable to retweet id: 299530494457020417
2017-02-07 07:54:02.217301 -- Unable to retweet id: 299530651776999424
2017-02-07 07:55:01.443168 -- Unable to retweet id: 299530494457020417
2017-02-07 07:55:01.610833 -- Unable to retweet id: 299530651776999424
2017-02-07 07:56:01.838427 -- Unable to retweet id: 299530494457020417
2017-02-07 07:56:01.965038 -- Unable to retweet id: 299530651776999424
2017-02-07 07:57:02.184940 -- Unable to retweet id: 299530494457020417
2017-02-07 07:57:02.319886 -- Unable to retweet id: 299530651776999424
2017-02-07 07:58:01.535674 -- Unable to retweet id: 299530494457020417
2017-02-07 07:58:01.674013 -- Unable to retweet id: 299530651776999424
2017-02-07 07:59:01.885198 -- Unable to retweet id: 299530494457020417
2017-02-07 07:59:02.015949 -- Unable to retweet id: 299530651776999424
2017-02-07 08:00:01.252846 -- Unable to retweet id: 299530494457020417
2017-02-07 08:00:01.380970 -- Unable to retweet id: 299530651776999424
2017-02-07 08:01:01.596484 -- Unable to retweet id: 299530494457020417
2017-02-07 08:01:01.730690 -- Unable to retweet id: 299530651776999424
2017-02-07 08:02:01.955312 -- Unable to retweet id: 299530494457020417
2017-02-07 08:02:02.088870 -- Unable to retweet id: 299530651776999424
2017-02-07 08:03:01.329612 -- Unable to retweet id: 299530494457020417
2017-02-07 08:03:01.459096 -- Unable to retweet id: 299530651776999424
2017-02-07 08:04:01.673399 -- Unable to retweet id: 299530494457020417
2017-02-07 08:04:01.851238 -- Unable to retweet id: 299530651776999424
2017-02-07 08:05:02.089825 -- Unable to retweet id: 299530494457020417
2017-02-07 08:05:02.221926 -- Unable to retweet id: 299530651776999424
2017-02-07 08:06:01.458019 -- Unable to retweet id: 299530494457020417
2017-02-07 08:06:01.583568 -- Unable to retweet id: 299530651776999424
2017-02-07 08:07:01.795010 -- Unable to retweet id: 299530494457020417
2017-02-07 08:07:01.923353 -- Unable to retweet id: 299530651776999424
2017-02-07 08:08:02.128864 -- Unable to retweet id: 299530494457020417
2017-02-07 08:08:02.260638 -- Unable to retweet id: 299530651776999424
2017-02-07 08:09:01.555935 -- Unable to retweet id: 299530494457020417
2017-02-07 08:09:01.689194 -- Unable to retweet id: 299530651776999424
2017-02-07 08:10:01.908681 -- Unable to retweet id: 299530494457020417
2017-02-07 08:10:02.042979 -- Unable to retweet id: 299530651776999424
2017-02-07 08:11:01.266565 -- Unable to retweet id: 299530494457020417
2017-02-07 08:11:01.398501 -- Unable to retweet id: 299530651776999424
2017-02-07 08:12:01.620684 -- Unable to retweet id: 299530494457020417
2017-02-07 08:12:01.759537 -- Unable to retweet id: 299530651776999424
2017-02-07 08:13:01.997693 -- Unable to retweet id: 299530494457020417
2017-02-07 08:13:02.129630 -- Unable to retweet id: 299530651776999424
2017-02-07 08:14:01.370871 -- Unable to retweet id: 299530494457020417
2017-02-07 08:14:01.502620 -- Unable to retweet id: 299530651776999424
2017-02-07 08:15:01.715719 -- Unable to retweet id: 299530494457020417
2017-02-07 08:15:01.843169 -- Unable to retweet id: 299530651776999424
2017-02-07 08:16:02.059519 -- Unable to retweet id: 299530494457020417
2017-02-07 08:16:02.189610 -- Unable to retweet id: 299530651776999424
2017-02-07 08:17:01.412358 -- Unable to retweet id: 299530494457020417
2017-02-07 08:17:01.540766 -- Unable to retweet id: 299530651776999424
2017-02-07 08:18:01.767087 -- Unable to retweet id: 299530494457020417
2017-02-07 08:18:01.906600 -- Unable to retweet id: 299530651776999424
2017-02-07 08:19:02.122490 -- Unable to retweet id: 299530494457020417
2017-02-07 08:19:02.252031 -- Unable to retweet id: 299530651776999424
2017-02-07 08:20:01.471663 -- Unable to retweet id: 299530494457020417
2017-02-07 08:20:01.603018 -- Unable to retweet id: 299530651776999424
2017-02-07 08:21:01.820337 -- Unable to retweet id: 299530494457020417
2017-02-07 08:21:01.945964 -- Unable to retweet id: 299530651776999424
2017-02-07 08:22:02.164456 -- Unable to retweet id: 299530494457020417
2017-02-07 08:22:02.294077 -- Unable to retweet id: 299530651776999424
2017-02-07 08:23:01.500435 -- Unable to retweet id: 299530494457020417
2017-02-07 08:23:01.635232 -- Unable to retweet id: 299530651776999424
2017-02-07 08:24:01.867467 -- Unable to retweet id: 299530494457020417
2017-02-07 08:24:02.000830 -- Unable to retweet id: 299530651776999424
2017-02-07 08:25:01.278195 -- Unable to retweet id: 299530494457020417
2017-02-07 08:25:01.443941 -- Unable to retweet id: 299530651776999424
2017-02-07 08:26:01.659812 -- Unable to retweet id: 299530494457020417
2017-02-07 08:26:01.788734 -- Unable to retweet id: 299530651776999424
2017-02-07 08:27:02.004725 -- Unable to retweet id: 299530494457020417
2017-02-07 08:27:02.137151 -- Unable to retweet id: 299530651776999424
2017-02-07 08:28:01.388707 -- Unable to retweet id: 299530494457020417
2017-02-07 08:28:01.514917 -- Unable to retweet id: 299530651776999424
2017-02-07 08:29:01.758654 -- Unable to retweet id: 299530494457020417
2017-02-07 08:29:01.886193 -- Unable to retweet id: 299530651776999424
2017-02-07 08:30:02.103202 -- Unable to retweet id: 299530494457020417
2017-02-07 08:30:02.232673 -- Unable to retweet id: 299530651776999424
2017-02-07 08:31:01.483394 -- Unable to retweet id: 299530494457020417
2017-02-07 08:31:01.609507 -- Unable to retweet id: 299530651776999424
2017-02-07 08:32:01.828842 -- Unable to retweet id: 299530494457020417
2017-02-07 08:32:01.961910 -- Unable to retweet id: 299530651776999424
2017-02-07 08:33:02.213069 -- Unable to retweet id: 299530494457020417
2017-02-07 08:33:02.349206 -- Unable to retweet id: 299530651776999424
2017-02-07 08:34:01.566139 -- Unable to retweet id: 299530494457020417
2017-02-07 08:34:01.692184 -- Unable to retweet id: 299530651776999424
2017-02-07 08:35:01.928936 -- Unable to retweet id: 299530494457020417
2017-02-07 08:35:02.075865 -- Unable to retweet id: 299530651776999424
2017-02-07 08:36:01.326959 -- Unable to retweet id: 299530494457020417
2017-02-07 08:36:01.460397 -- Unable to retweet id: 299530651776999424
2017-02-07 08:36:01.716912 -- Retweeted tweet id: 299542215292755968
2017-02-07 08:37:01.925548 -- Unable to retweet id: 299530494457020417
2017-02-07 08:37:02.059081 -- Unable to retweet id: 299530651776999424
2017-02-07 08:37:02.205084 -- Unable to retweet id: 299542215292755968
2017-02-07 08:38:01.434724 -- Unable to retweet id: 299530494457020417
2017-02-07 08:38:01.666129 -- Unable to retweet id: 299530651776999424
2017-02-07 08:38:01.812967 -- Unable to retweet id: 299542215292755968
2017-02-07 08:39:02.035072 -- Unable to retweet id: 299530494457020417
2017-02-07 08:39:02.167360 -- Unable to retweet id: 299530651776999424
2017-02-07 08:39:02.292158 -- Unable to retweet id: 299542215292755968
2017-02-07 08:40:01.585545 -- Unable to retweet id: 299530494457020417
2017-02-07 08:40:01.716854 -- Unable to retweet id: 299530651776999424
2017-02-07 08:40:01.855204 -- Unable to retweet id: 299542215292755968
2017-02-07 08:41:02.070692 -- Unable to retweet id: 299530494457020417
2017-02-07 08:41:02.203971 -- Unable to retweet id: 299530651776999424
2017-02-07 08:41:02.352012 -- Unable to retweet id: 299542215292755968
2017-02-07 08:42:01.600728 -- Unable to retweet id: 299530494457020417
2017-02-07 08:42:01.730751 -- Unable to retweet id: 299530651776999424
2017-02-07 08:42:01.863557 -- Unable to retweet id: 299542215292755968
2017-02-07 08:43:02.084090 -- Unable to retweet id: 299530494457020417
2017-02-07 08:43:02.217616 -- Unable to retweet id: 299530651776999424
2017-02-07 08:43:02.341871 -- Unable to retweet id: 299542215292755968
2017-02-07 08:44:01.609471 -- Unable to retweet id: 299530494457020417
2017-02-07 08:44:01.738210 -- Unable to retweet id: 299530651776999424
2017-02-07 08:44:01.933816 -- Unable to retweet id: 299542215292755968
2017-02-07 08:45:02.211888 -- Unable to retweet id: 299530494457020417
2017-02-07 08:45:02.344161 -- Unable to retweet id: 299530651776999424
2017-02-07 08:45:02.471833 -- Unable to retweet id: 299542215292755968
2017-02-07 08:46:01.691156 -- Unable to retweet id: 299530494457020417
2017-02-07 08:46:01.842842 -- Unable to retweet id: 299530651776999424
2017-02-07 08:46:01.972053 -- Unable to retweet id: 299542215292755968
